time,wx,wy,wz
2020-12-08 8:56:59.1820,-0.84,-0.3,0.55
2020-12-08 8:56:59.1990,-1.2,-0.05,0.37
2020-12-08 8:56:59.2020,-1.39,0.3,0.08
2020-12-08 8:56:59.2250,-1.53,1.11,-0.62
2020-12-08 8:56:59.2250,-1.53,1.11,-0.62
2020-12-08 8:56:59.2390,-1.56,1.39,-0.82
2020-12-08 8:56:59.2430,-1.54,1.46,-0.87
2020-12-08 8:56:59.2590,-1.44,1.33,-0.79
2020-12-08 8:56:59.2640,-1.24,0.99,-0.63
2020-12-08 8:56:59.2790,-0.96,0.56,-0.46
2020-12-08 8:56:59.2830,-0.63,0.1,-0.32
2020-12-08 8:56:59.2990,-0.32,-0.31,-0.19
2020-12-08 8:56:59.3030,-0.01,-0.6,-0.11
2020-12-08 8:56:59.3210,0.45,-0.98,-0.15
2020-12-08 8:56:59.3220,0.45,-0.98,-0.15
2020-12-08 8:56:59.3390,0.51,-0.96,-0.21
2020-12-08 8:56:59.3430,0.36,-0.8,-0.28
2020-12-08 8:56:59.3590,-0.03,-0.63,-0.32
2020-12-08 8:56:59.3630,-0.56,-0.47,-0.29
2020-12-08 8:56:59.3790,-1.1,-0.26,-0.21
2020-12-08 8:56:59.3830,-1.49,-0.07,-0.07
2020-12-08 8:56:59.3990,-1.73,0.06,0.11
2020-12-08 8:56:59.4030,-1.86,0.17,0.3
2020-12-08 8:56:59.4220,-1.98,0.03,0.6
2020-12-08 8:56:59.4220,-1.98,0.03,0.6
2020-12-08 8:56:59.4390,-1.82,-0.1,0.68
2020-12-08 8:56:59.4440,-1.39,-0.01,0.58
2020-12-08 8:56:59.4590,-0.78,0.3,0.34
2020-12-08 8:56:59.4630,-0.14,0.47,0.05
2020-12-08 8:56:59.4790,0.36,0.27,-0.21
2020-12-08 8:56:59.4840,0.68,-0.12,-0.34
2020-12-08 8:56:59.4990,0.74,-0.43,-0.36
2020-12-08 8:56:59.5020,0.59,-0.53,-0.36
2020-12-08 8:56:59.5220,-0.15,-0.47,-0.25
2020-12-08 8:56:59.5230,-0.15,-0.47,-0.25
2020-12-08 8:56:59.5390,-0.63,-0.24,-0.14
2020-12-08 8:56:59.5430,-0.99,0.16,-0.01
2020-12-08 8:56:59.5600,-0.98,0.79,0.06
2020-12-08 8:56:59.5630,-0.98,0.79,0.06
2020-12-08 8:56:59.5790,-0.73,0.8,-0.07
2020-12-08 8:56:59.5820,-0.45,0.55,-0.21
2020-12-08 8:56:59.5990,-0.19,0.33,-0.32
2020-12-08 8:56:59.6020,0.07,0.23,-0.42
2020-12-08 8:56:59.6220,0.72,0.19,-0.49
2020-12-08 8:56:59.6220,0.72,0.19,-0.49
2020-12-08 8:56:59.6390,0.95,0.36,-0.59
2020-12-08 8:56:59.6430,1.08,0.63,-0.66
2020-12-08 8:56:59.6590,1.16,0.92,-0.67
2020-12-08 8:56:59.6630,1.23,1.12,-0.65
2020-12-08 8:56:59.6790,1.32,1.14,-0.66
2020-12-08 8:56:59.6820,1.47,0.98,-0.68
2020-12-08 8:56:59.6990,1.67,0.69,-0.7
2020-12-08 8:56:59.7030,1.82,0.43,-0.73
2020-12-08 8:56:59.7250,1.84,0.31,-0.75
2020-12-08 8:56:59.7260,1.84,0.31,-0.75
2020-12-08 8:56:59.7390,1.61,0.45,-0.61
2020-12-08 8:56:59.7430,1.37,0.46,-0.52
2020-12-08 8:56:59.7590,1.18,0.48,-0.58
2020-12-08 8:56:59.7630,1.06,0.17,-0.61
2020-12-08 8:56:59.7790,0.92,0.07,-0.7
2020-12-08 8:56:59.7820,0.71,0.03,-0.82
2020-12-08 8:56:59.7990,0.41,0.06,-0.92
2020-12-08 8:56:59.8020,0.19,0.28,-0.85
2020-12-08 8:56:59.8220,0.31,0.71,-0.27
2020-12-08 8:56:59.8220,0.31,0.71,-0.27
2020-12-08 8:56:59.8410,0.35,0.7,-0.03
2020-12-08 8:56:59.8440,0.2,0.56,0.02
2020-12-08 8:56:59.8600,0.01,0.55,-0.07
2020-12-08 8:56:59.8630,-0.04,0.63,-0.19
2020-12-08 8:56:59.8800,0.37,0.44,-0.22
2020-12-08 8:56:59.8830,0.37,0.44,-0.22
2020-12-08 8:56:59.9000,0.53,-0.32,-0.04
